rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1108,0x000F8F54,X_CANDIDATE,-0.0097480434924364,0.0097480434924364,0.0,0.0,0.0,0.0097480434924364,0.0097480434924364,0.0097480434924364
1109,0x000F8F94,X_CANDIDATE,-0.0097480434924364,0.0097480434924364,0.0,0.0,0.0,0.0097480434924364,0.0097480434924364,0.0097480434924364
1110,0x000F9014,X_CANDIDATE,-0.0097480434924364,0.0097480434924364,0.0,0.0,0.0,0.0097480434924364,0.0097480434924364,0.0097480434924364
1111,0x001F25D0,X_CANDIDATE,-0.0098174959421158,0.068722322583199,0.0,0.0,0.078539818525314,0.068722322583199,0.068722322583199,0.0098174959421158
1112,0x003B2DBC,Z_CANDIDATE,-0.011412620544434,-9.7957582473755,-9.8071708679199,0.0,0.0,0.011412620544434,9.7957582473755,9.7957582473755
1113,0x003B2E3C,Z_CANDIDATE,-0.011412620544434,-9.7957582473755,-9.8071708679199,0.0,0.0,0.011412620544434,9.7957582473755,9.7957582473755
1114,0x000D3FCC,ROTATION_CANDIDATE,-0.011791065335274,-0.16786053776741,-0.19030041992664,-0.14050133526325,-0.20586855709553,0.022439882159233,0.027359202504158,0.038008019328117
1115,0x003B2FD0,X_CANDIDATE,-0.012143611907959,-7.5544610023499,7.5423173904419,0.0,0.0,15.096778392792,7.5544610023499,7.5544610023499
1116,0x000D39FC,Z_CANDIDATE,-0.012602895440068,-0.00082556164124981,0.028714066371322,0.042934242635965,-0.027648633345962,0.029539628012571,0.043759804277215,0.026823071704712
1117,0x000D38A8,Z_CANDIDATE,-0.01334635069361,0.00064052926609293,-0.028787352144718,-0.042695190757513,0.027894718572497,0.029427881410811,0.043335720023606,0.027254189306404
1118,0x000D3A08,Z_CANDIDATE,-0.01387752534356,-0.00081206730101258,0.029669180512428,0.042862057685852,-0.027882469817996,0.030481247813441,0.043674124986865,0.027070402516983
1119,0x000D3E30,ROTATION_CANDIDATE,-0.014804862439632,-0.10126918554306,-0.076434008777142,-0.079008884727955,-0.068978570401669,0.024835176765919,0.022260300815105,0.032290615141392
1120,0x000D3A00,X_CANDIDATE,-0.015309322625399,-0.019976411014795,0.038899645209312,0.0043588727712631,0.029873684048653,0.058876056224108,0.024335283786058,0.049850095063448
1121,0x000D3DF0,ROTATION_CANDIDATE,-0.015863604843616,-0.10203975439072,-0.076020181179047,-0.07939538359642,-0.069239415228367,0.02601957321167,0.022644370794296,0.03280033916235
1122,0x000D3A18,X_CANDIDATE,-0.016475597396493,0.019976962357759,-0.038176167756319,-0.0050192605704069,-0.029655542224646,0.058153130114079,0.024996222928166,0.049632504582405
1123,0x000D389C,X_CANDIDATE,-0.016782297752798,0.031177239492536,-0.026641769334674,0.0062993401661515,-0.018546167761087,0.057819008827209,0.024877899326384,0.049723407253623
1124,0x000D3CEC,ROTATION_CANDIDATE,-0.019164813682437,0.0,-0.039557889103889,0.021539086475968,0.041932161897421,0.039557889103889,0.021539086475968,0.041932161897421
1125,0x000D3A90,ROTATION_CANDIDATE,-0.021450914209709,-0.0010550955776125,-0.027250494807959,-0.046516973525286,-0.051261458545923,0.026195399230346,0.045461877947673,0.050206362968311
1126,0x000D3A50,ROTATION_CANDIDATE,-0.02151680237148,-0.0014291399857029,-0.027482511475682,-0.046348016709089,-0.050884585827589,0.026053371489979,0.044918876723386,0.049455445841886
1127,0x000F8E40,X_CANDIDATE,-0.022705603390932,-0.022705603390932,0.0,0.0,0.0,0.022705603390932,0.022705603390932,0.022705603390932
1128,0x000D36B8,Z_CANDIDATE,-0.02278777398169,-0.008197583258152,0.015207901597023,0.022673595696688,0.022055884823203,0.023405484855175,0.03087117895484,0.030253468081355
1129,0x000D36D0,Z_CANDIDATE,-0.022980640642345,0.0082261338829994,-0.015275430865586,-0.02246475033462,-0.02194382622838,0.023501564748585,0.03069088421762,0.03016996011138
1130,0x000D3524,ROTATION_CANDIDATE,-0.026313781738281,0.5,0.34209823608398,0.42105102539063,0.28946304321289,0.15790176391602,0.078948974609375,0.21053695678711
1131,0x000D3C40,ROTATION_CANDIDATE,-0.026789811439812,-0.014878525398672,-0.095533557236195,0.019526232033968,0.073391452431679,0.080655031837523,0.03440475743264,0.08826997783035
1132,0x000D3DD8,ROTATION_CANDIDATE,-0.026789811439812,-0.0026983162388206,-0.083353348076344,0.031706441193819,0.08557166159153,0.080655031837523,0.03440475743264,0.08826997783035
1133,0x000816C8,X_CANDIDATE,-0.028076171875,114.66307067871,114.4437713623,114.84895324707,114.72456359863,0.21929931640625,0.18588256835938,0.061492919921875
1134,0x003B2DFC,X_CANDIDATE,-0.032882690429688,74.001678466797,-73.968795776367,0.0,0.0,147.97047424316,74.001678466797,74.001678466797
1135,0x000F9108,X_CANDIDATE,-0.037322152405977,-0.037322152405977,0.0,0.0,0.0,0.037322152405977,0.037322152405977,0.037322152405977
1136,0x000D3944,X_CANDIDATE,-0.038642214960419,0.0010947346454486,0.048073966056108,-0.045064140111208,0.040557306259871,0.04697923141066,0.046158874756657,0.039462571614422
1137,0x000F8E94,X_CANDIDATE,-0.040598519146442,0.040598519146442,0.0,0.0,0.0,0.040598519146442,0.040598519146442,0.040598519146442
1138,0x000F91D4,X_CANDIDATE,-0.040598519146442,0.040598519146442,0.0,0.0,0.0,0.040598519146442,0.040598519146442,0.040598519146442
1139,0x000D3C6C,X_CANDIDATE,-0.044407159090042,0.60585939884186,0.08518560230732,0.19540379941463,0.76048475503922,0.52067379653454,0.41045559942722,0.15462535619736
